CustomerID,Age,Gender,Income,PurchaseFrequency,AvgPurchaseValue,Tenure,Churn
202,25.0,Female,68551.0,22,901.46,8,1
203,44.0,Female,157628.0,39,996.18,9,0
204,26.0,Female,173670.0,10,826.29,4,0
205,54.0,Male,157635.0,31,,7,1
206,50.0,Female,61819.0,35,252.76,2,1
207,68.0,Male,88770.0,32,578.82,6,0
208,59.0,Female,173038.0,23,71.92,8,1
209,61.0,Male,173059.0,38,,7,0
210,41.0,Male,93714.0,33,998.9,7,0
211,32.0,Female,39596.0,27,330.01,8,0
212,49.0,Female,179246.0,36,749.44,7,0
213,49.0,Female,79106.0,6,807.63,5,1
214,41.0,Female,,3,858.73,7,0
215,58.0,Male,102163.0,36,997.64,3,0
216,69.0,Female,54310.0,0,245.29,5,0
217,66.0,Female,71088.0,0,45.15,7,0
218,66.0,Female,143803.0,19,414.14,9,0
219,69.0,Male,,18,134.43,2,0
220,29.0,Male,,28,27.31,4,0
221,56.0,Female,125350.0,9,363.62,7,1
222,19.0,Male,60379.0,17,784.82,1,0
223,20.0,Female,183722.0,27,568.35,2,0
224,66.0,Male,192953.0,34,316.21,9,1
225,54.0,Male,61413.0,30,656.07,7,0
226,66.0,Male,152084.0,26,235.86,7,0
227,34.0,Male,196187.0,10,19.31,6,1
228,66.0,Female,22151.0,37,765.53,3,0
229,19.0,Female,72716.0,4,,3,0
230,19.0,Female,108747.0,7,763.49,2,0
231,45.0,Male,,33,43.74,6,0
232,40.0,Female,188724.0,11,837.93,4,1
233,54.0,Female,159539.0,37,621.43,5,0
234,49.0,Female,177082.0,0,565.58,3,1
235,50.0,Male,136999.0,30,626.49,6,1
236,18.0,Male,129793.0,3,865.11,3,0
237,,Male,123177.0,4,589.0,8,0
238,19.0,Female,,29,583.05,9,0
239,61.0,Female,,23,990.73,4,0
240,43.0,Female,189668.0,2,757.95,9,0
241,49.0,Male,169243.0,10,445.08,7,1
242,23.0,Male,,3,708.86,3,1
243,,Female,129014.0,25,392.28,7,0
244,21.0,Male,190211.0,26,232.73,1,0
245,28.0,Male,194785.0,26,598.87,3,1
246,34.0,Male,175806.0,5,928.54,6,0
247,55.0,Male,,14,1858.98,4,1
248,,Female,,29,345.2,7,0
249,22.0,Male,18654.0,36,530.04,3,0
250,69.0,Male,33743.0,36,215.58,1,1
251,51.0,Male,63368.0,36,995.65,9,0
252,23.0,Male,152513.0,34,981.21,6,1
253,39.0,Female,134735.0,22,651.26,8,1
254,28.0,Female,170683.0,5,805.39,3,0
255,65.0,Male,134891.0,3,716.52,8,0
256,,Male,122971.0,17,595.19,2,1
257,50.0,Male,27149.0,8,58.08,4,1
258,26.0,Male,115102.0,28,457.49,3,0
259,,Male,74189.0,12,676.41,1,1
260,33.0,Male,167747.0,16,679.14,7,0
261,46.0,Female,86031.0,31,376.26,2,0
262,,Male,57668.0,21,,4,1
263,37.0,Female,159745.0,3,171.52,9,0
264,53.0,Female,309612.0,4,1005.72,6,1
265,36.0,Male,169741.0,36,692.43,8,0
266,43.0,Female,180140.0,12,698.65,2,0
267,20.0,Female,155507.0,33,650.4,7,0
268,36.0,Female,198321.0,21,278.91,6,0
269,37.0,Female,52384.0,22,160.43,9,0
270,49.0,Female,,2,637.76,7,0
271,24.0,Female,142959.0,33,601.31,1,0
272,69.0,Male,91153.0,31,183.46,8,0
273,58.0,Female,90388.0,20,706.61,3,0
274,50.0,Female,46401.0,20,457.9,2,1
275,57.0,Female,134503.0,10,669.42,3,0
276,56.0,Male,142834.0,38,838.18,6,0
277,35.0,Female,49084.0,3,173.88,3,0
278,57.0,Male,125641.0,0,24.05,5,0
279,18.0,Female,120111.0,27,780.21,6,0
280,28.0,Male,182523.0,23,611.65,8,0
281,45.0,Male,153299.0,34,701.14,7,0
282,42.0,Female,177982.0,12,838.96,8,1
283,67.0,Female,51041.0,33,803.8,3,1
284,40.0,Male,103920.0,10,961.12,4,0
285,48.0,Female,80681.0,35,538.26,6,0
286,47.0,Male,96571.0,16,491.05,7,0
287,59.0,Male,142556.0,34,404.88,9,0
288,52.0,Male,41160.0,17,157.92,1,0
289,24.0,Male,32633.0,39,574.74,8,0
290,33.0,Male,32014.0,21,280.63,8,0
291,43.0,Female,95532.0,23,921.7,6,0
292,65.0,Male,64104.0,18,585.27,4,0
293,69.0,Male,187693.0,36,594.88,3,0
294,66.0,Female,,38,358.15,3,0
295,19.0,Male,83388.0,20,56.73,6,0
296,18.0,Female,31014.0,7,36.59,8,0
297,65.0,Female,107578.0,27,426.22,7,0
298,29.0,Female,179827.0,4,89.14,1,0
299,22.0,Male,55390.0,16,608.81,6,0
300,54.0,Male,38711.0,36,881.57,7,0
301,,Male,106658.0,35,883.5,7,0
302,,Female,72993.0,18,660.75,9,0
303,58.0,Male,173285.0,26,215.18,5,0
304,52.0,Female,22421.0,33,863.68,1,0
305,36.0,Male,,10,886.66,2,0
306,65.0,Female,127418.0,11,200.67,4,0
307,33.0,Male,19358.0,20,738.74,5,1
308,20.0,Male,80108.0,10,290.09,9,0
309,37.0,Male,109018.0,38,803.63,1,0
310,41.0,Female,139457.0,27,997.25,3,1
311,50.0,Female,178189.0,4,34.88,5,1
312,41.0,Male,46910.0,16,897.88,3,0
313,69.0,Male,141888.0,19,624.52,4,0
314,28.0,Female,70754.0,11,973.52,3,0
315,66.0,Female,124847.0,5,467.68,4,0
316,,Female,175443.0,16,848.15,1,0
317,53.0,Male,197573.0,18,67.08,8,0
318,55.0,Female,53467.0,25,338.6,4,0
319,57.0,Male,163697.0,31,71.68,7,1
320,37.0,Female,48893.0,5,975.47,2,1
321,52.0,Male,91329.0,35,817.89,2,0
322,65.0,Female,46007.0,37,853.28,6,0
323,42.0,Female,,10,,2,0
324,52.0,Female,69253.0,32,89.68,6,1
325,42.0,Female,27323.0,23,388.67,2,0
326,46.0,Female,126335.0,22,,4,0
327,35.0,Male,127356.0,14,214.74,7,0
328,63.0,Female,,26,466.44,8,0
329,35.0,Female,160282.0,10,471.76,3,0
330,19.0,Female,31456.0,16,272.22,9,1
331,52.0,Male,46367.0,13,105.47,2,0
332,33.0,Female,69624.0,26,171.65,8,0
333,58.0,Male,156178.0,17,151.54,8,0
334,53.0,Female,83008.0,27,973.21,4,0
335,50.0,Female,140926.0,3,760.5,1,1
336,21.0,Male,130395.0,6,967.92,1,1
337,,Female,,34,442.54,2,1
338,31.0,Male,87240.0,8,281.98,9,1
339,38.0,Male,79315.0,7,799.3,2,0
340,65.0,Female,25756.0,16,329.62,2,0
341,37.0,Male,,16,302.89,6,0
342,25.0,Female,150327.0,32,236.34,7,1
343,24.0,Female,160556.0,31,134.03,7,0
344,20.0,Male,140703.0,7,260.18,9,0
345,34.0,Male,71549.0,18,358.54,6,1
346,50.0,Male,180575.0,37,675.62,8,0
347,,Male,88794.0,2,67.25,6,0
348,29.0,Female,60113.0,4,214.45,2,0
349,68.0,Female,89069.0,12,809.98,1,0
350,39.0,Male,151321.0,30,,5,0
351,39.0,Female,165273.0,15,345.93,9,1
352,63.0,Female,140541.0,31,865.34,8,0
353,47.0,Female,24686.0,21,159.15,4,1
354,55.0,Female,68363.0,28,87.32,5,0
355,55.0,Male,,21,487.12,5,0
356,62.0,Male,146733.0,2,305.91,6,1
357,68.0,Female,190915.0,9,565.59,3,0
358,,Male,110673.0,20,804.79,5,0
359,44.0,Male,57828.0,15,141.46,2,1
360,44.0,Male,63604.0,11,582.8,1,0
361,51.0,Female,25526.0,1,507.98,1,0
362,38.0,Female,83910.0,23,148.36,7,0
363,47.0,Female,40592.0,34,625.88,2,0
364,50.0,Male,43982.0,29,277.27,4,0
365,45.0,Female,15207.0,29,490.4,5,0
366,,Female,103733.0,34,,7,1
367,,Male,139982.0,18,462.29,2,1
368,22.0,Female,83619.0,7,309.93,6,0
369,,Female,175400.0,25,,1,0
370,36.0,Male,61479.0,39,61.69,7,0
371,21.0,Male,166175.0,6,421.51,9,0
372,52.0,Male,185963.0,29,461.14,5,0
373,66.0,Female,156826.0,6,726.38,5,1
374,34.0,Female,96437.0,2,576.42,4,1
375,61.0,Female,113540.0,0,668.88,3,0
376,45.0,Male,87982.0,35,778.16,9,0
377,,Male,117747.0,24,862.89,5,0
378,46.0,Female,63231.0,36,317.31,8,0
379,63.0,Female,44301.0,0,540.33,9,0
380,23.0,Male,187395.0,14,840.91,5,1
381,52.0,Male,33752.0,36,989.5,9,0
382,58.0,Male,113452.0,12,890.07,2,1
383,54.0,Male,,39,374.61,9,0
384,41.0,Female,136237.0,7,199.19,4,0
385,46.0,Male,71273.0,4,491.95,6,0
386,66.0,Female,,8,742.93,6,0
387,63.0,Female,19895.0,0,495.11,6,0
388,48.0,Female,134968.0,35,485.76,2,0
389,52.0,Male,130700.0,34,839.04,7,1
390,50.0,Male,91559.0,1,364.6,6,0
391,69.0,Male,25699.0,39,860.5,1,0
392,38.0,Male,,22,409.77,2,1
393,49.0,Female,34169.0,8,331.59,7,1
394,40.0,Male,133413.0,33,456.72,1,1
395,50.0,Male,162235.0,13,763.63,1,0
396,20.0,Female,134264.0,3,130.37,1,1
397,,Male,20782.0,29,200.44,8,0
398,42.0,Female,418443.0,30,1903.38,4,0
399,59.0,Female,,37,179.61,4,0
400,48.0,Female,45682.0,10,569.89,2,0
401,,Female,193936.0,34,581.42,1,0
402,57.0,Female,434976.0,7,984.36,9,0
403,63.0,Female,99416.0,2,,7,0
404,41.0,Female,142810.0,13,,4,0
405,67.0,Female,53067.0,12,554.9,6,0
406,,Male,,31,375.31,2,1
407,64.0,Male,,33,663.36,7,1
408,39.0,Male,51035.0,18,145.52,2,0
409,40.0,Male,105373.0,37,573.02,8,1
410,19.0,Female,98362.0,15,189.34,8,0
411,44.0,Male,105517.0,1,282.25,1,0
412,59.0,Female,80450.0,39,222.62,8,0
413,19.0,Male,25382.0,16,186.92,2,0
414,43.0,Male,,33,826.58,6,1
415,34.0,Male,76929.0,15,289.28,1,0
416,57.0,Female,113864.0,37,927.49,5,0
417,50.0,Male,158401.0,1,970.08,7,0
418,26.0,Female,,1,1146.8,1,0
419,60.0,Female,102468.0,25,147.29,2,1
420,65.0,Male,148782.0,12,755.36,7,1
421,56.0,Male,60033.0,30,798.74,6,0
422,46.0,Male,,33,370.55,3,1
423,59.0,Female,88861.0,38,91.58,2,0
424,43.0,Male,198362.0,2,559.0,4,1
425,,Female,46750.0,7,845.9,3,0
426,67.0,Female,,22,796.95,7,0
427,,Male,93222.0,13,179.25,8,0
428,41.0,Male,127020.0,26,674.4,2,0
429,30.0,Female,39226.0,28,,7,0
430,24.0,Female,65163.0,38,444.24,8,0
431,53.0,Female,35609.0,38,874.7,6,0
432,62.0,Male,198202.0,0,253.42,6,1
433,37.0,Female,145513.0,16,,1,0
434,18.0,Male,119211.0,29,5.65,4,0
435,25.0,Female,584901.0,12,1742.64,1,0
436,63.0,Female,151728.0,20,793.63,4,1
437,,Male,139865.0,18,,2,0
438,31.0,Female,89520.0,18,751.51,5,1
439,29.0,Male,79309.0,24,,9,1
440,,Male,44984.0,21,461.03,3,0
441,40.0,Female,133947.0,30,354.46,8,0
442,32.0,Male,20901.0,16,98.31,3,0
443,45.0,Male,177624.0,22,488.7,6,0
444,51.0,Female,46055.0,31,,4,1
445,19.0,Male,183757.0,9,44.86,8,1
446,49.0,Male,160788.0,9,295.0,6,0
447,40.0,Male,129099.0,35,211.5,8,0
448,,Female,26138.0,7,241.96,1,1
449,68.0,Male,544110.0,19,1817.78,6,0
450,42.0,Female,197184.0,31,470.73,1,0
451,39.0,Female,38429.0,13,468.97,1,0
452,39.0,Male,65200.0,27,,8,0
453,66.0,Male,194316.0,23,158.72,7,1
454,69.0,Male,116268.0,14,489.83,3,0
455,,Female,32347.0,21,432.84,6,0
456,23.0,Male,162992.0,29,598.93,9,1
457,32.0,Male,46822.0,3,999.56,7,0
458,60.0,Male,192731.0,12,770.6,3,1
459,54.0,Male,55108.0,22,400.88,6,0
460,50.0,Male,143955.0,7,828.42,4,0
461,25.0,Female,68901.0,17,349.7,3,1
462,61.0,Female,125719.0,11,35.31,9,0
463,61.0,Male,26871.0,30,208.43,2,0
464,22.0,Male,179685.0,13,343.71,1,0
465,56.0,Male,43179.0,33,513.03,2,0
466,21.0,Male,198260.0,17,617.05,7,0
467,23.0,Female,70099.0,33,911.05,1,1
468,62.0,Male,50262.0,10,512.3,6,1
469,49.0,Female,93213.0,11,503.77,7,1
470,69.0,Female,132407.0,14,54.99,9,0
471,47.0,Male,164340.0,30,39.74,8,0
472,64.0,Female,101269.0,28,553.4,6,0
473,,Female,75545.0,25,440.99,3,1
474,57.0,Female,54922.0,17,839.98,8,0
475,69.0,Female,57913.0,31,164.88,7,0
476,33.0,Male,112033.0,21,,3,1
477,30.0,Male,119792.0,37,451.79,9,0
478,67.0,Female,195913.0,16,241.29,2,0
479,59.0,Male,,22,54.37,3,1
480,47.0,Male,134863.0,23,725.98,2,1
481,36.0,Male,171104.0,7,116.04,1,0
482,34.0,Male,183918.0,5,610.28,4,0
483,36.0,Male,59936.0,4,284.64,5,1
484,45.0,Female,175866.0,28,177.63,6,0
485,43.0,Male,196403.0,27,382.85,5,0
486,,Male,43141.0,10,802.44,1,0
487,43.0,Male,155146.0,0,395.13,3,0
488,40.0,Male,152478.0,18,752.02,1,0
489,26.0,Female,112359.0,8,129.86,5,0
490,,Female,138279.0,26,773.91,5,0
491,,Female,169363.0,33,240.75,6,0
492,18.0,Female,169704.0,3,1358.02,8,1
493,64.0,Male,112539.0,35,,1,1
494,,Female,61851.0,17,929.5,4,1
495,49.0,Male,69823.0,14,390.39,1,0
496,65.0,Male,38312.0,12,70.83,9,0
497,42.0,Male,189180.0,18,24.06,7,0
498,57.0,Male,180243.0,5,,7,1
499,62.0,Male,187851.0,11,527.11,5,0
500,18.0,Female,113723.0,36,776.37,7,0
501,,Female,27411.0,16,238.25,2,1
502,56.0,Female,72009.0,22,348.36,4,0
503,22.0,Female,161494.0,25,34.95,7,0
504,39.0,Male,188540.0,28,,3,1
505,46.0,Female,47371.0,32,669.53,2,1
506,20.0,Male,72022.0,26,933.54,2,0
507,29.0,Female,,24,269.17,1,1
508,43.0,Male,,9,1226.82,5,0
509,33.0,Male,197268.0,22,680.11,6,1
510,68.0,Female,111774.0,20,320.96,6,0
511,54.0,Male,41715.0,20,,9,0
512,,Male,42605.0,12,947.43,4,0
513,,Female,114853.0,36,885.43,1,1
514,31.0,Male,46174.0,32,740.37,6,0
515,,Female,156028.0,23,281.08,5,0
516,22.0,Female,91373.0,10,285.21,6,0
517,64.0,Female,84252.0,16,963.54,3,1
518,,Male,85017.0,3,15.23,2,0
519,47.0,Male,78037.0,24,717.47,6,0
520,63.0,Male,104818.0,29,707.71,1,0
521,69.0,Female,21548.0,8,624.58,7,0
522,22.0,Male,131981.0,20,990.16,7,0
523,29.0,Female,169249.0,19,315.32,7,0
524,33.0,Female,39022.0,18,343.27,1,0
525,43.0,Male,121297.0,18,83.54,4,0
526,43.0,Female,151614.0,11,,7,1
527,65.0,Male,75428.0,36,264.74,9,0
528,38.0,Male,168812.0,16,346.67,5,0
529,56.0,Male,74353.0,36,835.4,2,1
530,53.0,Male,128132.0,38,935.81,7,0
531,50.0,Male,31052.0,27,189.8,1,1
532,47.0,Female,115689.0,34,375.65,7,0
533,54.0,Female,193148.0,17,928.99,6,0
534,40.0,Female,199492.0,13,66.5,7,0
535,27.0,Male,146743.0,34,96.9,3,1
536,22.0,Male,15163.0,6,166.98,3,0
537,53.0,Male,,12,597.24,7,0
538,51.0,Female,199816.0,17,154.72,2,1
539,69.0,Male,156706.0,36,968.24,1,0
540,48.0,Female,150870.0,12,449.48,9,0
541,27.0,Female,37420.0,35,504.01,9,0
542,36.0,Male,135575.0,30,,7,1
543,49.0,Male,44300.0,1,473.61,7,0
544,18.0,Female,104881.0,15,663.6,3,0
545,22.0,Male,25749.0,8,752.42,2,0
546,62.0,Female,119131.0,8,755.1,7,0
547,21.0,Male,171193.0,37,580.0,9,1
548,,Male,143563.0,10,,1,1
549,41.0,Female,52487.0,21,818.32,4,1
550,33.0,Male,179433.0,32,758.26,6,1
551,19.0,Female,36223.0,35,60.33,7,0
552,66.0,Male,87930.0,22,11.84,7,0
553,45.0,Female,160128.0,33,216.39,2,1
554,49.0,Female,43380.0,8,665.21,4,0
555,44.0,Male,41035.0,23,414.14,5,0
556,37.0,Female,,7,405.39,1,1
557,41.0,Male,165949.0,6,885.16,1,0
558,29.0,Male,132360.0,35,896.09,3,1
559,67.0,Male,68352.0,17,909.63,3,0
560,52.0,Female,176983.0,2,317.31,8,0
561,50.0,Female,178856.0,27,692.6,9,0
562,50.0,Male,18191.0,5,275.28,1,0
563,68.0,Male,179232.0,20,194.66,2,1
564,60.0,Female,105536.0,27,188.71,2,0
565,54.0,Male,119576.0,39,345.4,4,0
566,29.0,Male,195795.0,0,432.81,2,0
567,,Female,18631.0,35,831.79,7,0
568,18.0,Male,152244.0,20,124.29,9,0
569,50.0,Female,57080.0,34,736.25,7,1
570,57.0,Male,,12,533.8,6,0
571,27.0,Female,166353.0,9,291.51,1,1
572,60.0,Male,43671.0,9,495.36,9,1
573,,Male,,12,303.44,5,0
574,46.0,Female,197503.0,36,598.1,5,0
575,30.0,Male,142734.0,37,436.67,6,1
576,29.0,Female,174674.0,23,,9,0
577,48.0,Male,66399.0,1,121.0,8,0
578,63.0,Female,169544.0,21,548.96,8,0
579,19.0,Female,195302.0,16,902.9,8,1
580,68.0,Female,22099.0,35,347.24,1,1
581,67.0,Female,171503.0,13,734.34,1,1
582,52.0,Male,,9,660.37,8,0
583,40.0,Male,111722.0,34,931.9,5,0
584,34.0,Female,193756.0,24,821.88,9,0
585,43.0,Female,45111.0,2,568.77,2,0
586,25.0,Female,78936.0,37,658.75,9,0
587,46.0,Male,168686.0,16,,8,1
588,43.0,Male,188063.0,11,402.52,9,1
589,27.0,Male,75920.0,23,330.16,4,0
590,43.0,Male,78530.0,28,15.76,1,0
591,,Female,182296.0,24,827.42,1,0
592,68.0,Female,68364.0,35,1603.96,5,0
593,,Female,43082.0,25,108.93,2,1
594,24.0,Male,138287.0,37,578.97,8,1
595,21.0,Male,,0,466.66,5,0
596,67.0,Male,116015.0,19,123.12,5,0
597,62.0,Female,98588.0,27,980.67,2,0
598,28.0,Female,162603.0,15,218.62,7,0
599,46.0,Male,103340.0,16,71.9,8,0
600,53.0,Female,109439.0,39,596.87,1,0
601,42.0,Male,190929.0,27,740.17,2,0
602,38.0,Male,156214.0,11,37.28,4,1
